frame,zone,width_mm,slot_len_mm,dy
515,2,5.337,70.9,4
517,1,4.799,60.5,3
517,2,5.355,70.5,3
519,2,5.352,70.4,2
521,2,5.505,69.2,4
523,2,5.524,69.5,2
525,2,5.732,68.5,5
527,1,4.379,60.8,2
527,2,6.102,64.2,2
529,1,4.004,63.5,4
529,2,5.664,68.8,4
531,1,3.797,66.2,2
531,2,5.538,69.9,2
533,1,3.911,64.6,4
533,2,5.569,70.5,4
535,1,4.002,63.4,3
535,2,5.625,70.5,3
535,3,4.057,62.4,3
537,1,3.835,66.5,3
537,2,5.673,70.8,3
537,3,4.138,62.4,3
539,1,3.919,66.0,3
539,2,5.821,70.8,3
539,3,4.179,61.6,3
541,1,3.919,66.2,2
541,2,5.928,70.5,2
541,3,4.274,61.4,2
543,1,4.012,64.2,4
543,2,6.065,70.8,4
543,3,4.42,60.5,4
545,1,3.912,65.8,2
545,2,6.216,70.6,2
545,3,4.405,61.6,2
547,1,3.827,66.8,5
547,2,6.429,69.8,5
547,3,4.366,61.6,5
549,1,3.876,65.8,3
549,2,6.465,69.8,3
549,3,4.434,60.5,3
551,1,3.785,66.8,4
551,2,6.417,69.8,4
551,3,4.438,61.0,4
553,1,3.791,66.5,3
553,2,6.397,70.4,3
553,3,4.408,61.0,3
555,1,3.851,65.2,3
555,2,6.342,70.9,3
555,3,4.383,61.0,3
557,1,3.816,67.0,5
557,2,6.38,70.9,5
557,3,4.365,61.0,5
559,1,3.783,67.5,4
559,2,6.403,70.8,4
559,3,4.429,61.2,4
561,1,3.855,65.0,5
561,2,6.557,68.4,5
561,3,4.373,62.9,5
563,1,3.997,62.4,3
563,2,6.702,66.8,3
563,3,4.441,61.2,3
565,1,4.132,59.1,5
565,2,6.984,63.0,5
565,3,4.467,60.0,5
567,1,4.281,57.2,3
567,2,7.156,61.0,3
567,3,4.713,56.1,3
569,2,7.631,56.6,5
571,2,7.732,55.0,4
599,2,7.279,55.2,3
601,1,4.414,62.8,4
601,2,7.234,56.2,4
601,3,5.347,56.0,4
603,1,4.456,62.5,3
603,2,7.349,56.2,3
603,3,5.13,58.5,3
605,1,4.576,61.5,4
605,2,7.207,58.2,4
605,3,4.919,61.2,4
607,1,4.712,59.8,3
607,2,6.969,60.8,3
607,3,4.983,61.2,3
609,1,4.806,58.8,4
609,2,6.977,61.2,4
609,3,5.001,61.5,4
611,1,4.856,58.0,4
611,2,6.531,66.8,4
